word,part_of_speech,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
board,n,S1,W1,,bɔːrd,bɔːd
boat,n,S1,W2,bəʊt,,
body,n,S1,W1,,ˈbɑːdɪ,ˈbɒdɪ
boil,v,S3,,bɔɪl,,
boiler,n,S3,,,ˈbɔɪlər,ˈbɔɪlə
boiling,adj,S3,,ˈbɔɪlɪŋ,,
bomb,n,S3,W3,,bɑːm,bɒm
bone,n,S2,W2,bəʊn,,
bonus,n,S2,,ˈbəʊnəs,,
book,n,S1,W1,bʊk,,
book,v,S2,,bʊk,,
boom,n,S3,,buːm,,
boot,n,S2,W3,buːt,,
border,n,S3,W2,,ˈbɔːrdər,ˈbɔːdə
bored,adj,S3,,,bɔːrd,bɔːd
boring,adj,S2,,ˈbɔːrɪŋ,,
born,v,S1,W2,,bɔːrn,bɔːn
borrow,v,S2,W3,,ˈbɑːrəʊ,ˈbɒrəʊ
boss,n,S2,W3,,bɔːs,bɒs
both,determiner/predeterminer/pron,S1,W1,bəʊθ,,
bother,v,S1,W3,,ˈbɑːðər,ˈbɒðə
bottle,n,S1,W2,,ˈbɑːtl,ˈbɒt(ə)l
bottom,adj,S1,W3,,ˈbɑːtəm,ˈbɒtəm
bottom,n,S1,W3,,ˈbɑːtəm,ˈbɒtəm
bounce,v,S3,,baʊns,,
bound,adj,S2,W3,baʊnd,,
bowl,n,S2,W3,bəʊl,,
box,n,S1,W1,,bɑːks,bɒks
boy,n,S1,W1,,bɔɪ,ˌbɔɪ
boyfriend,n,S3,,ˈbɔɪfrend,,
brain,n,S2,W2,breɪn,,
branch,n,S2,W2,,bræntʃ,brɑːn(t)ʃ
brave,adj,S3,,breɪv,,
bread,n,S2,W3,bred,,
break,n,S2,W2,breɪk,,
break,v,S1,W1,breɪk,,
breakfast,n,S2,W2,ˈbrekfəst,,
breast,n,S3,,brest,,
breath,n,S3,W2,breθ,,
breathe,v,S3,W3,briːð,,
brick,n,S2,W3,brɪk,,
bridge,n,S2,W2,brɪdʒ,,
brief,adj,S2,W2,,brɪf,briːf
briefly,adv,S2,W3,ˈbriːflɪ,,
bright,adj,S2,W2,braɪt,,
brilliant,adj,S2,W3,,ˈbrɪlɪənt,ˈbrɪlj(ə)nt
bring,v,S1,W1,brɪŋ,,
broad,adj,S2,W2,brɔːd,,
brother,n,S1,W1,,ˈbrʌðər,ˈbrʌðə
brown,adj,S2,W2,braʊn,,
brush,n,S3,,brʌʃ,,
brush,v,S3,,brʌʃ,,
buck,n,S1,,bʌk,,
bucket,n,S2,,ˈbʌkɪt,,
buddy,n,S3,,ˈbʌdɪ,,
budget,n,S1,W2,ˈbʌdʒɪt,,
bug,n,S3,,bʌɡ,,
build,v,S1,W1,bɪld,,
builder,n,S3,,,ˈbɪldər,ˈbɪldə
building,n,S1,W1,ˈbɪldɪŋ,,
bump,v,S3,,bʌmp,,
bunch,n,S2,,,bʌntʃ,bʌn(t)ʃ
burn,v,S2,W3,,bɜːrn,bɜːn
burn,n,S3,,,bɜːrn,bɜːn
burst,v,,W3,,bɜːrst,bɜːst
bury,v,,W3,ˈberɪ,,
bus,n,S1,W2,bʌs,,
business,n,S1,W1,ˈbɪznəs,,
busy,adj,S1,W2,ˈbɪzɪ,,
but,conj,S1,W1,bʌt (strong)/bət (weak),,
but,prep,S2,W3,bʌt (strong)/bət (weak),,
but,adv,S2,W3,bʌt (strong)/bət (weak),,
butcher,n,S3,,,ˈbʊtʃər,ˈbʊtʃə
butter,n,S2,,,ˈbʌtər,ˈbʌtə
button,n,S2,,,ˈbʌtn,ˈbʌt(ə)n
buy,v,S1,W1,baɪ,,
buyer,n,S3,W3,,ˈbaɪər,ˈbaɪə
by,adv,S1,W1,baɪ,,
by,prep,S1,W1,baɪ,,
bye,interjection,S1,,baɪ,,
bye,n,S3,,baɪ,,
cabinet,n,S2,W2,,ˈkæbɪnət,ˈkæbɪnɪt
cable,n,,W3,,ˈkeɪbl,ˈkeɪb(ə)l
cake,n,S2,W3,keɪk,,
calculate,v,S2,W3,ˈkælkjʊleɪt,,
calculation,n,S2,,,ˌkælkjʊˈleɪʃn,kælkjʊˈleɪʃ(ə)n
calculator,n,S3,,,ˈkælkjʊleɪtər,ˈkælkjʊleɪtə
calendar,n,S3,,,ˈkælɪndər,ˈkælɪndə
call,n,S1,W1,kɔːl,,
call,v,S1,W1,kɔːl,,
calm,adj,S3,W3,kɑːm,,
camera,n,S2,W3,,ˈkæmərə,ˈkæm(ə)rə
camp,n,S3,W3,kæmp,,
campaign,n,S2,W1,kæmˈpeɪn,,
can,modal,S1,W1,kæn (strong)/kən (weak),,
can,n,S2,,kæn (strong)/kən (weak),,
cancel,v,S2,,,ˈkænsl,ˈkæns(ə)l
cancer,n,S2,W2,,ˈkænsər,ˈkænsə
candidate,n,,W2,,ˈkændɪdət,ˈkændɪdeɪt
candle,n,S3,,,ˈkændl,ˈkænd(ə)l
candy,n,S3,,ˈkændɪ,,
cap,n,S3,,kæp,,
capable,adj,S2,W2,,ˈkeɪpəbl,ˈkeɪpəb(ə)l
capacity,n,S3,W2,,kəˈpæsətɪ,kəˈpæsɪtɪ
capital,n,S3,W1,,ˈkæpɪtl,ˈkæpɪt(ə)l
capital,adj,S2,W3,,ˈkæpɪtl,ˈkæpɪt(ə)l
captain,n,,W3,ˈkæptɪn,,
capture,v,,W3,,ˈkæptʃər,ˈkæptʃə
car,n,S1,W1,,kɑːr,kɑː
card,n,S1,W2,,kɑːrd,kɑːd
care,n,S1,W1,,ker,keə
care,v,S1,W2,,ker,keə
career,n,S2,W2,,kəˈrɪr,kəˈrɪə
careful,adj,S1,W2,,ˈkerfl,ˈkeəfʊl
carefully,adv,S2,W2,,ˈkerfəlɪ,ˈkeəf(ə)lɪ
carpet,n,S2,W3,,ˈkɑːrpɪt,ˈkɑːpɪt
carrot,n,S3,,ˈkærət,,
carry,v,S1,W1,ˈkærɪ,,
cartoon,n,S3,,,kɑːrˈtuːn,kɑːˈtuːn
case,n,S1,W1,keɪs,,
cash,n,S2,W2,kæʃ,,
cash,v,S3,,kæʃ,,
cast,v,,W3,,kæst,kɑːst
castle,n,,W3,,ˈkæsl,ˈkɑːs(ə)l
cat,n,S1,W3,kæt,,
catalogue,n,,W3,,ˈkætəlɔːɡ,ˈkæt(ə)lɒɡ
catch,v,S1,W1,kætʃ,,
category,n,S2,W2,,ˈkætəɡɔːrɪ,ˈkætəɡ(ə)rɪ
cause,v,S1,W1,kɔːz,,
cause,n,S2,W1,kɔːz,,
CD,n,S3,W3,,,
cease,v,,W3,siːs,,
ceiling,n,S3,W3,ˈsiːlɪŋ,,
celebrate,v,,W3,ˈselɪbreɪt,,
celebration,n,S3,,,ˌselɪˈbreɪʃn,selɪˈbreɪʃ(ə)n
cell,n,S3,W2,sel,,
cellphone,n,S2,W3,ˈselfəʊn,,
cent,n,S1,W1,sent,,
centimetre,n,S3,W3,,ˈsentɪmiːtər,ˈsentɪmiːtə
central,adj,S1,W1,,ˈsentrəl,ˈsentr(ə)l
centre,n,S1,W1,,ˈsentər,ˈsentə
century,n,S2,W1,,ˈsentʃərɪ,ˈsentʃʊrɪ
cereal,n,S3,,,ˈsɪrɪəl,ˈsɪərɪəl
certain,adj,S1,W1,,ˈsɜːrtn,ˈsɜːt(ə)n
certainly,adv,S1,W1,,ˈsɜːrtnlɪ,ˈsɜːtnlɪ
certificate,n,S3,W3,,sərˈtɪfɪkət,səˈtɪfɪkət
